Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;PRODAW__Wert_der_zum_Absatz_bestimmten_Produktion__EUR;PRO005__Menge_der_zum_Absatz_bestimmten_Produktion_(BM)__Anzahl;PRO006__Gewicht_der_zum_Absatz_bestimmten_Produktion__t;PRO007__Gewicht_der_zum_Absatz_bestimmten_Produktion__kg;PRO008__Menge_der_zum_Absatz_bestimmten_Produktion__Stück;PRO009__Menge_der_Gesamtproduktion_(BM)__Anzahl;PRO010__Gewicht_der_Gesamtproduktion__t;PRO011__Gewicht_der_Gesamtproduktion__kg;PRO012__Menge_der_Gesamtproduktion__Stück;UNT006__Unternehmen_mit_zum_Absatz_bestimmter_Produktion__Anzahl;UNT005__Unternehmen_mit_Produktion__Anzahl
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081130100;Kreide;.;-;.;-;-;-;.;-;-;2;2
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081130300;Dolomit, weder gebrannt noch gesintert;15750000;-;979818;-;-;-;.;-;-;6;6
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081140000;Tonschiefer, behauen, zert. in Blöcke od. Platten;.;-;.;-;-;-;8983;-;-;2;3
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081211500;Kieselsaure Sande und Quarzsande (Industriesand);191595000;-;8204057;-;-;-;-;-;-;30;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081211900;Bausand u.a. natürl. Sande (oh. metallhalt. Sande);438909000;-;71573767;-;-;-;-;-;-;290;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212103;Baukies (z.B. als Betonzuschlag) und anderer Kies;583971000;-;72489826;-;-;-;-;-;-;282;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212108;Kies, Feld-, Feuerstein (Flintstein) und Kiesel;41187000;-;5699315;-;-;-;-;-;-;28;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212301;Gebrochene Natursteine f. Beton-,Wege- od. Bahnbau;133586000;-;19162526;-;-;-;-;-;-;56;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212303;Brechsande u. Körnungen, f. Beton-, Wege-,Bahnbau;450072000;-;56339337;-;-;-;-;-;-;147;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212305;Wasserbausteine;22994000;-;1589838;-;-;-;-;-;-;65;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212307;Schrotten, Korngröße 35 bis 60 mm;25412000;-;3819334;-;-;-;-;-;-;60;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212309;Andere gebrochene Natursteine, a.n.g.;257352000;-;38293230;-;-;-;-;-;-;114;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212500;Körnungen, Splitt und Mehl von Marmor;13917000;-;1429307;-;-;-;-;-;-;6;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212903;Körnungen, Splitt von anderen Natursteinen;261896000;-;32833870;-;-;-;-;-;-;104;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081212905;Mehl v. and. Naturst.(ohne Marmor-u.Kalksteinmehl);31738000;-;1151679;-;-;-;-;-;-;22;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081213000;Mischgut aus Schlacken u.ä. Industrieabfällen;37797000;-;4625755;-;-;-;-;-;-;9;-
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081221400;Kaolin, nicht kalziniert;73735000;-;592716;-;-;-;.;-;-;7;8
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081221600;Anderer kaolinh. Ton und Lehm, auch gebrannt, roh;6780000;-;453888;-;-;-;453888;-;-;7;7
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081222100;Bentonit, Bleicherden und Walkerden;11316000;-;.;-;-;-;.;-;-;6;6
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081222300;Feuerfester Ton und Lehm;11481000;-;420175;-;-;-;492788;-;-;15;16
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081222501;Keramischer Ton;74547000;-;3335893;-;-;-;3540901;-;-;10;12
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081222504;Anderer Ton und Lehm;2274000;-;477650;-;-;-;477650;-;-;9;9
42131;Vierteljährliche Produktionserhebung i.Verarb.Gew.;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GP19A9;GP2019 (9-Steller (Arten));GP19-081222508;Andalusit, Cyanit, Sillimanit, Mullit;31992000;-;284831;-;-;-;284831;-;-;5;5
